,Tweet Id,Text,UTC,Created At,Favorites,Retweets,color,member
233,1528675176116023296,"[📢] TikTok ハッシュタグチャレンジ
#KIZUNA チャレンジがスタート！

 #JO1 2ND ALBUM ""KIZUNA""収録曲
🎧#With_Us 
🎧#Touch!
🎧#Algorithm

の3曲を使ってぜひ投稿してください🎉 https://t.co/F00oWYKmVC",2022-05-23T09:52:18.000Z,Mon May 23 09:52:18 +0000 2022,14266,4674,orange,Group
234,1528662021729681414,"JO1｜2ND ALBUM ""KIZUNA"" 
Promotion Movie FanCam ver.
(https://t.co/0mCN5btlXD)

#JO1 #KIZUNA #With_Us 
#ぼくたちはいつでもひとつ",2022-05-23T09:00:01.000Z,Mon May 23 09:00:01 +0000 2022,22272,7691,orange,Group
235,1528571418295803904,"▶︎ LINE MUSIC '#With_Us' 
再生回数キャンペーンスタート🎧

■プレゼント内容 
『あなたのお名前を呼ぶメッセージ動画」：20名

■応募期間
2022.5.23(Mon) 12:00〜 
2022.5.29(Sun) 23:59まで

■詳細
https://t.co/5B9soIL8k2

#JO1 #KIZUNA #With_Us",2022-05-23T03:00:00.000Z,Mon May 23 03:00:00 +0000 2022,11953,3909,orange,Group
236,1528546478142390273,"[🙋🏻‍♂️5/23(月) 出演情報 ]

▫️20:25- bayfm
《 bayfm Meets JO1 2022 ～ KIZUNA ～ 》
川尻蓮 河野純喜 豆原一成

▫️21:00- TBS
《 #CDTVライブライブ 》

出演させていただきます！

#JO1 #KIZUNA #With_Us",2022-05-23T01:20:54.000Z,Mon May 23 01:20:54 +0000 2022,14938,4592,red,Mamehara Issei
237,1528390236727873538,"[🎧] 2ND ALBUM ""KIZUNA"" (Special Edition)
各サブスクリプションにて
全曲配信スタート！
(https://t.co/BZkRVTJe5W)

#Move_The_Soul #Dreamer は
11人で再収録しています☺︎

#JO1 #KIZUNA #With_Us https://t.co/FQv4ooCGbZ",2022-05-22T15:00:03.000Z,Sun May 22 15:00:03 +0000 2022,22366,8217,orange,Group
238,1528390224522403841,"[D-2]
2ND ALBUM ""KIZUNA""
⟴ 5.25 RELEASE

#JO1 #鶴房汐恩 #KIZUNA #With_Us https://t.co/DiBj3LgJT3",2022-05-22T15:00:00.000Z,Sun May 22 15:00:00 +0000 2022,23806,7032,gray,Tsurubo Shion
239,1528358515345063940,"フジテレビ《 呼び出し先生タナカ 》
#佐藤景瑚 が
出演させていただきました🏫

ありがとうございました！

#JO1 #KIZUNA #With_Us https://t.co/EHjAP5O7qy",2022-05-22T12:54:00.000Z,Sun May 22 12:54:00 +0000 2022,24931,6650,brown,Sato Keigo
240,1528250139173068800,"[🙋🏻‍♂️5/22(日) 出演情報 ]

▫️16:25- 日本テレビ
《 こちら『トレンディマーケット』編集部 》
與那城奨

▫️21:00- フジテレビ
《 呼び出し先生タナカ 》
佐藤景瑚

出演させていただきます！

#JO1 #KIZUNA #With_Us",2022-05-22T05:43:21.000Z,Sun May 22 05:43:21 +0000 2022,13688,3952,brown,Sato Keigo
241,1528209800399847424,"[🎧] moraにて「KIZUNA(Special Edition)」
ダウンロードキャンペーン決定！

▼詳細
https://t.co/YCmqoacGyV

#JO1 #KIZUNA #With_Us",2022-05-22T03:03:03.000Z,Sun May 22 03:03:03 +0000 2022,10746,3410,orange,Group
242,1528209040454651905,"[🎧] ドワンゴジェイピーにて「KIZUNA(Special Edition)」ダウンロードキャンペーン決定！

▼詳細
https://t.co/cSa4yjQvew

#JO1 #KIZUNA #With_Us",2022-05-22T03:00:02.000Z,Sun May 22 03:00:02 +0000 2022,10867,3365,orange,Group
243,1528027841727717377,"[D-3]
2ND ALBUM ""KIZUNA""
⟴ 5.25 RELEASE

#JO1 #金城碧海 #KIZUNA #With_Us https://t.co/gfMvrWUSeN",2022-05-21T15:00:01.000Z,Sat May 21 15:00:01 +0000 2022,23879,7052,black,Kinjo Sukai
244,1528020308653125634,"NHK《 #Venue101 》
出演させていただきました🎉
ありがとうございました！

#JO1との思い出 沢山のツイート
ありがとうございました✨

🎧 #With_Us MV
https://t.co/fNyCq6QrBz
💿 #KIZUNA サブスク
https://t.co/6AImtYN5AO

〖 2ND ALBUM ""KIZUNA"" 〗
5.25(水)リリース！

#JO1 #どんな時もWith_Us https://t.co/QZROvmYVUW",2022-05-21T14:30:05.000Z,Sat May 21 14:30:05 +0000 2022,28871,9238,orange,Group
245,1528000989672128514,"#Venue101 
このあと23:00より
生出演させていただきます！

リアタイしてください🤙🏻🎉
ウィザス❗️

#JO1 #KIZUNA #With_Us https://t.co/gKE3f6IStz",2022-05-21T13:13:19.000Z,Sat May 21 13:13:19 +0000 2022,17497,5668,orange,Group
